NameModern,NameAncient,LocationAncient,LocationModern,Lat,Long,GeolocationSource,GeolocationCitation,GeolocationCertainty,Date,DateLow,DateHigh,DateDecision,Notes1,Citation1,Plan1,Plan2,Function1,Function2,Commisioner,Domed,Marble,Ceiling,TimberRoof,Mosaic,NumberAisles,Gallery,Exonarthex,Atrium,Ambulatory
Ilissos Basilica,Ilissos Basilica,Ilissos,Ilissos,37.968248,23.73826,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B058'05.7%22N+23%C2%B044'10.4%22E/@37.96825,23.7351773,382m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d37.968248!4d23.736209",60,400,400,450,400,Date from mosaics; Google satellite,"Krauthemier, 92",Basilica,Cross-transept,Church,nul,nul,Yes,nul,nul,nul,Yes,3,nul,Yes,nul,nul
Library of Hadrian,The Great Panagia,Athens,Athens,37.975361,23.726674,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B058'31.3%22N+23%C2%B043'36.0%22E/@37.9753621,23.7261268,202m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d37.975361!4d23.726674",100,420,410,430,420,"Location based on maps in Curcic, 124","Curcic, 124",Tetraconch,nul,Church,Cathedral,nul,nul,Yes,nul,nul,Yes,1,Yes,Yes,Yes,Yes
Basilica A,Basilica A,Philippi,Filippoi,41.012975,24.284467,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B000'46.7%22N+24%C2%B017'04.1%22E/@41.012976,24.2839198,194m/data=!3m2!1e3!4b1!4m5!3m4!1s0x0:0x0!8m2!3d41.012975!4d24.284467",90,500,480,520,500,Location based on map in Curic 116,"Curcic, 118",Basilica,Cross-transept,Church,nul,nul,nul,Yes,Vaulted,nul,nul,3,Yes,Yes,Yes,Yes
Basilica B,Basilica B,Philippi,Filippoi,41.011919,24.282741,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B000'42.9%22N+24%C2%B016'57.9%22E/@41.01192,24.2821902,195m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sPhilippi+church!3m5!1s0x0:0x0!7e2!8m2!3d41.0119187!4d24.2827409",90,540,530,560,540,Date generally agreed by scholars,"Curcic, 207-08",Basilica,Cross-transept,Church,nul,nul,Yes,Yes,Vaulted,nul,nul,2,nul,Yes,nul,Yes
Philippi Octagonal Church,Philippi Octagonal Church,Philippi,Filippoi,41.01164,24.2844,Archaeological Excavation,"https://www.google.com/maps/place/41%C2%B000'41.9%22N+24%C2%B017'03.8%22E/@41.011641,24.2838528,194m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sPhilippi+church!3m5!1s0x0:0x0!7e2!8m2!3d41.0116401!4d24.2843996",90,520,500,540,520,Date approximation based on style,"Curcic, 114-16",Octagonal,Square,Church,nul,nul,nul,Yes,nul,nul,nul,1,nul,Yes,Yes,Yes
Dubrovnik Cathedral,Ragusium Cathedral,Ragusium,Dubrovnik,42.639861,18.1103,Conjecture,"https://www.google.com/maps/place/42%C2%B038'23.5%22N+18%C2%B006'37.1%22E/@42.6398624,18.1095317,265m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d42.6398606!4d18.1103002",80,550,550,550,550,Based on wooden roofs & barrel-vaulting style,"Curcic, 223-4",Basilica,nul,Church,Cathedral,nul,nul,nul,Barrel-vaulted,Yes,nul,3,nul,nul,nul,Yes
Basilica III,Basilica III,Romuliana,Gamzigrad,43.898851,22.18598,Archaeological Excavation,"https://www.google.com/maps/place/43%C2%B053'55.9%22N+22%C2%B011'09.5%22E/@43.8988548,22.1837913,740m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x47540c57a9a51425:0xa189314a3d0351e4!2sGamzigrad,+Serbia!3b1!8m2!3d43.9094879!4d22.1752836!3m5!1s0x0:0x0!7e2!8m2!3d43.8988512!4d22.1859798",70,450,400,500,450,Approximation,"Curcic, 225",Basilica,nul,Church,nul,nul,nul,nul,Barrel-vaulted,Yes,nul,3,nul,Yes,nul,nul
Basilica C,Basilica C,Gradina/Jelica,Gradina/Jelica,43.829656,20.310405,Conjecture,"https://www.google.com/maps/@43.8296598,20.3082163,741m/data=!3m1!1e3",40,450,400,500,450,Approximation based on style,"Curcic, 225-6",Basilica,nul,Church,Cathedral,nul,nul,nul,nul,Yes,nul,1,nul,Yes,nul,Yes
Basilica A,Basilica A,Gradina/Jelica,Gradina/Jelica,43.829643,20.310771,Conjecture,"https://www.google.com/maps/place/43%C2%B049'46.7%22N+20%C2%B018'38.8%22E/@43.8296444,20.3099813,267m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d43.8296426!4d20.3107706",40,450,400,500,450,Approximation,"Curcic, 226",Basilica,nul,Funerary,nul,nul,nul,nul,nul,Yes,nul,1,nul,Yes,nul,Yes
Kamenica Basilica,Kamenica Basilica,Kalata Lake,Kalata Lake,41.991875,22.590369,Documentary Evidence,"https://www.google.com/maps/place/41%C2%B059'30.8%22N+22%C2%B035'25.3%22E/@41.9918764,22.5896201,261m/data=!3m1!1e3!4m14!1m7!3m6!1s0x135587c0aec3eb8b:0x5dfc9c375d057aaa!2sKalata!3b1!8m2!3d41.9849411!4d22.5906259!3m5!1s0x0:0x0!7e2!8m2!3d41.9918751!4d22.5903694",60,550,500,600,550,"Location approximation based on description in Curcic, 227; Date from Finey, 217","Curcic, 227",Basilica,nul,Church,nul,nul,nul,nul,Vaulted,nul,nul,3,nul,Yes,nul,Yes
Church at Knossos,Church at Knossos,Knossos,Knosos,35.3060038,25.0819313,Documentary Evidence,"https://www.google.com/maps/place/University+of+Crete+Medical+School/@35.3060038,25.0819313,838m/data=!3m1!1e3!4m12!1m6!3m5!1s0x149a5779b4946629:0xc7fc4581514ea401!2sUniversity+of+Crete+Medical+School!8m2!3d35.3059994!4d25.08412!3m4!1s0x149a5779b4946629:0xc7fc4581514ea401!8m2!3d35.3059994!4d25.08412",60,400,400,400,400,"Approximate date; Excavation destroyed to make University of Crete Medical School, Curcic, 153","Curcic, 153",Basilica,Triconch,Church,Cemetary,nul,Yes,nul,Vaulted,nul,Yes,3,nul,Yes,Yes,nul
Ancient Church of St. Mary,Church of St. Mary,Ephesus,Selcuk,37.945049,27.339258,Archaeological Excavation,"https://www.google.com/maps/place/37%C2%B056'42.2%22N+27%C2%B020'21.3%22E/@37.9450504,27.3385399,266m/data=!3m2!1e3!4b1!4m9!1m2!2m1!1sBasilica+of+St.+Mary+ephesus!3m5!1s0x0:0x0!7e2!8m2!3d37.9450487!4d27.3392576",100,400,400,400,400,Google Satellite,"Krauthemier, 81",Basilica,nul,Church,Cathedral,nul,Yes,Yes,Pitched,nul,Yes,2,nul,Yes,Yes,Yes
Red Church,Red Church,Perustica,Perustica,42.07409,24.556144,Archaeological Excavation,"https://www.google.com/maps/place/42%C2%B004'26.7%22N+24%C2%B033'22.1%22E/@42.074092,24.5550497,381m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x0:0x0!2zNDLCsDA0JzI2LjciTiAyNMKwMzMnMTguMCJF!3b1!8m2!3d42.0740747!4d24.5549896!3m5!1s0x0:0x0!7e2!8m2!3d42.0740904!4d24.5561438",100,500,500,500,500,Style,"Krauthemier, 98",Tetraconch,nul,Church,nul,nul,Yes,nul,Vaulted,nul,nul,2,nul,Yes,nul,Yes
Forty Saints Monastery,Church of the Forty Martyrs,Saranda,Saranda,39.872275,20.021654,Archaeological Excavation,"https://www.google.com/maps/place/39%C2%B052'20.2%22N+20%C2%B001'18.0%22E/@39.8722764,20.0209208,264m/data=!3m2!1e3!4b1!4m14!1m7!3m6!1s0x135b148b2a8fecb5:0x21cab02aac4f6b8a!2sMonastery+of+40+Saints,+Sarand%C3%AB,+Albania!3b1!8m2!3d39.8725666!4d20.0212902!3m5!1s0x0:0x0!7e2!8m2!3d39.8722747!4d20.0216544",90,500,500,500,500,Style; Satellite,"Curcic, 242",Polyconchal,nul,Church,Monastery,nul,Yes,nul,Vaulted,nul,nul,1,Yes,Yes,nul,nul
Church of Archangel Michael,Church of Archangel Michael,Episkope-Kissamos,Episokpi,35.49083,23.763225,Extant,"https://www.google.com/maps/place/35%C2%B029'27.0%22N+23%C2%B045'47.6%22E/@35.4908311,23.7626778,209m/data=!3m2!1e3!4b1!4m13!1m6!3m5!1s0x149cf4caca646a9b:0x97013c930ff5d431!2sRotunda+Villas!8m2!3d35.4849186!4d23.7631201!3m5!1s0x0:0x0!7e2!8m2!3d35.4908297!4d23.7632247",100,550,500,600,550,Frescoes are sixth century ,"Curcic, 244",Basilica,Rotunda,Church,nul,nul,Yes,nul,Barrel-vaulted,nul,nul,2,nul,Yes,Yes,Yes
Church of the Theotokos,Church of the Virgin,Mount Garizim,Nablus,32.2012,35.27353,Archaeological Excavation,"https://www.google.com/maps/place/32%C2%B012'04.3%22N+35%C2%B016'24.7%22E/@32.2016846,35.2722982,670m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d32.2012!4d35.27353",70,484,484,484,484,Emperor Zeno's Reign,"Krauthemier, 116",Rotunda,Octagonal,Church,nul,Zeno,Yes,nul,Pyramidal,Yes,nul,1,Yes,nul,nul,Yes
Acropolis-episcopal complex,The Cathedral of Caricin Grad,Justiniana-Prima,Caricin Grad,42.953309,21.669093,Archaeological Excavation,http://www.academia.edu/28132330/Cari%C4%8Din_Grad_Justiniana_Prima_A_New-Discovered_City_for_a_New_Society_Proceedings_of_the_23rd_International_Congress_of_Byzantine_Studies_Belgrade_22_27_August_2016_Plenary_papers_ed._S._Marjanovi%C4%87-Du%C5%A1ani%C4%87_Belgrade_2016_107-126,100,550,527,580,550,"Built during Justinian's reign; deduced from building plan, Krauthemier, 193","Krauthemier, 193",Basilica,Cross-shaped,Church,nul,nul,nul,nul,Vaulted,Yes,nul,3,Yes,Yes,Yes,nul
Church B,Church B,Justiniana-Prima,Caricin Grad,42.951236,21.670086,Archaeological Excavation,http://www.academia.edu/28132330/Cari%C4%8Din_Grad_Justiniana_Prima_A_New-Discovered_City_for_a_New_Society_Proceedings_of_the_23rd_International_Congress_of_Byzantine_Studies_Belgrade_22_27_August_2016_Plenary_papers_ed._S._Marjanovi%C4%87-Du%C5%A1ani%C4%87_Belgrade_2016_107-126,90,550,500,600,550,Date approximation,"Curcic, 213",Basilica,Cross-transept,Church,nul,Justinian,nul,nul,Vaulted,Yes,Yes,2,nul,Yes,nul,nul
Church D,Church D,Justiniana-Prima,Caricin Grad,42.951236,21.670086,Archaeological Excavation,http://www.academia.edu/28132330/Cari%C4%8Din_Grad_Justiniana_Prima_A_New-Discovered_City_for_a_New_Society_Proceedings_of_the_23rd_International_Congress_of_Byzantine_Studies_Belgrade_22_27_August_2016_Plenary_papers_ed._S._Marjanovi%C4%87-Du%C5%A1ani%C4%87_Belgrade_2016_107-126,90,549,548,550,549,"Built after Theodora's death in 548; Location deduced from plan in Curcic, 213","Curcic, 213",Basilica,Cross-transept,Church,nul,Justinian,nul,Yes,Vaulted,Yes,Yes,2,nul,Yes,Yes,Yes
