Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography
590.00,Durocortorum,Reims,Gallia Belgica,France,3,11 E3,-27,NULL,4.033091,49.256602,MacMullen 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Russell 1958.
393.00,Eburacum,York,Britannia,United Kingdom,2,9 F7,100,NULL,-1.082286,53.957702,McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Salmon 1969; Wacher 1995.
276.00,Ephesus,Efes,Asia,Turkey,2,61 E2,-292,NULL,27.341752,37.938309,Beloch 1886; Cohen 1995; Hansen and Nielsen 2004; Hanson 2011; Jones 1937; McEvedy 2011; PECS; Russell 1958; Sear 2006.
226.00,Forum Claudii,Martigny,Alpes Graiae et Poeninae,Switzerland,4 or 5,17 I1,-15,NULL,7.073483,46.101706,BNP; DGRG; PECS; Woloch 1983.
482.00,Gortyna,Kainourgiou,Creta et Cyrenaica,Greece,2,60 C2,-323,NULL,24.946944,35.06272,Hansen and Nielsen 2004; Nelis-Clément and Roddaz 2008; PECS; Sear 2006; Wilson 2011.
1381.00,Heraclea (Thracia),Ere?li,Thracia,Turkey,3,52 B3,-602,NULL,27.952973,40.971013,BNP; Brunt 1971; Cohen 2006; Cornell and Mathews 1982; DGRG; Hansen 2006; Hansen and Nielsen 2004; Hanson 2011; MacMullen 2000; McEvedy 2011; PECS; Salmon 1969; Sear 2006.
1176.00,Iol,Cherchell,Mauretania Caesariensis,Algeria,2,30 D3,-25,NULL,2.188806,36.606415,Benario 1981; Bomgardner 2000; Lepelley 1979-1981; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.
1247.00,Lambaesis,Tazzoult,Numidia,Algeria,2,34 E2,129,NULL,6.2667,35.46081,Benario 1981; BNP; Bomgardner 2000; Golvin 1988; Lepelley 1979-1981; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Wilson 2011; Woloch 1983.
1338.00,Laodicea (Syria),Lattakia,Syria,Syria,3,68 A2,-301,NULL,35.78347,35.563788,BNP; Cohen 2006; DGRG; Jones 1937; PECS; Salmon 1969; Sear 2006.
399.00,Londinium,London,Britannia,United Kingdom,2,8 G3,60,NULL,-0.086632,51.510879,McEvedy 2011; Millett 1990: Table 4.4; Millett 1990: Table 6.5; PECS; Russell 1958; Wacher 1995; Woloch 1983.
620.00,Lugdunum,Lyon,Gallia Lugdunensis,France,1,17 D2,-43,NULL,4.820576,45.759119,Benario 1981; Brunt 1971; Cornell and Mathews 1982; Golvin 1988; MacMullen 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Russell 1958; Sear 2006; Woloch 1983.
420.00,Mazaca,Kayseri,Cappadocia et Galatia,Turkey,2,64 A3,-323,NULL,35.488989,38.721081,BNP; Cohen 1995; DGRG; Jones 1937; PECS.
673.00,Mogontiacum,Mainz,Germania Superior,Germany,2,11 I2,1,NULL,8.277769,49.993057,McEvedy 2011; PECS; Russell 1958; Sear 2006; Wilson 2011; Woloch 1983.
496.00,Napoca,Cluj,Dacia,Romania,3,21 F3,101,NULL,23.60429,46.776306,BNP; Boatwright 2000; PECS; Salmon 1969; Wilkes 2003b; Wilson 2011.
651.00,Narbo Martius,Narbonne,Gallia Narbonensis,France,2,25 H2,-45,NULL,3.004192,43.183566,Bedon 2001; Bedon et al 1988; Brunt 1971; Cornell and Mathews 1982; Golvin 1988; MacMullen 2000; McEvedy 2011; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Wilson 2011; Woloch 1983.
453.00,Neapaphus,Kato Paphos,Cilicia et Cyprus,Cyprus,2,72 A3,-400,NULL,32.406593,34.757212,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; Jones 1937; PECS; Sear 2006; Wilson 2011.
